Date,Sales,Profit,TotalQuantity,NumOrders,NumCustomers,NumProducts,AvgOrderValue,Year,Month,DayOfWeek,DayOfMonth,WeekOfYear,Quarter,IsWeekend,DayName,MonthName,DayOfYear,Sales_Lag1,Sales_Lag7,Sales_Lag14,Sales_Lag30,Sales_RollingMean7,Sales_RollingStd7,Sales_RollingMin7,Sales_RollingMax7,Sales_RollingMean14,Sales_RollingStd14,Sales_RollingMin14,Sales_RollingMax14,Sales_RollingMean30,Sales_RollingStd30,Sales_RollingMin30,Sales_RollingMax30,Sales_ExpandingMean,Sales_PctChange,Trend,Sin_DayOfYear,Cos_DayOfYear,Sin_DayOfWeek,Cos_DayOfWeek
2014-01-03,16.448,5.5512,2,1,1,1,16.448,2014,1,4,3,1,1,0,Friday,January,3,,,,,,,,,,,,,,,,,16.448,,0,0.051584366869408364,0.9986686402879997,-0.433883739117558,-0.9009688679024191
2014-01-04,288.06,-65.9901,8,1,1,3,96.02,2014,1,5,4,1,1,1,Saturday,January,4,16.448,,,,,,,,,,,,,,,,152.254,16.51337548638132,1,0.06875540848113941,0.9976335468520451,-0.9749279121818236,-0.2225209339563146
2014-01-05,19.536,4.884,3,1,1,1,19.536,2014,1,6,5,1,1,1,Sunday,January,5,288.06,,,,,,,,,,,,,,,,108.01466666666666,-0.9321807956675693,2,0.08590610426133272,0.9963032375991965,-0.7818314824680299,0.6234898018587334
2014-01-06,4407.1,1358.0524,30,3,3,9,489.6777777777778,2014,1,0,6,2,1,0,Monday,January,6,19.536,,,,,,,,,,,,,,,,1182.786,224.58865683865685,3,0.10303137904317879,0.9946781061893646,0.0,1.0
2014-01-07,87.15799999999999,-71.9621,10,1,1,2,43.57899999999999,2014,1,1,7,2,1,0,Tuesday,January,7,4407.1,,,,,,,,,,,,,,,,963.6604000000001,-0.980223276077239,4,0.1201261651823505,0.9927586335250793,0.7818314824680298,0.6234898018587336
2014-01-08,0.0,0.0,0,0,0,0,0.0,2014,1,2,8,2,1,0,Wednesday,January,8,87.15799999999999,,,,,,,,,,,,,,,,803.0503333333335,-1.0,5,0.13718540405660057,0.9905453876091833,0.9749279121818236,-0.22252093395631434
2014-01-09,40.544,10.918,5,1,1,2,20.272,2014,1,3,9,2,1,0,Thursday,January,9,0.0,,,,694.1208571428572,1640.262943771255,0.0,4407.1,,,,,,,,,694.1208571428572,0.0,6,0.1542040475626894,0.988039023376751,0.43388373911755823,-0.900968867902419
2014-01-10,54.83,22.6537,2,1,1,2,27.415,2014,1,4,10,2,1,0,Friday,January,10,40.544,16.448,,,699.604,1637.6821523616848,0.0,4407.1,,,,,,,,,614.2095,0.3523579321231256,7,0.17117705961019986,0.985240282501282,-0.433883739117558,-0.9009688679024191
2014-01-11,9.94,3.0814,2,1,1,1,9.94,2014,1,5,11,2,1,1,Saturday,January,11,54.83,288.06,,,659.8725714285714,1652.636018458073,0.0,4407.1,,,,,,,,,547.0684444444445,-0.8187123837315338,8,0.18809941761179758,0.9821499931752291,-0.9749279121818236,-0.2225209339563146
2014-01-12,0.0,0.0,0,0,0,0,0.0,2014,1,6,12,2,1,1,Sunday,January,12,9.94,19.536,,,657.0817142857143,1653.9136021700888,0.0,4407.1,,,,,,,,,492.3616,-1.0,9,0.20496611396949532,0.9787690698649216,-0.7818314824680299,0.6234898018587334
