Week,Sales,Profit,TotalQuantity,NumOrders,NumCustomers
2013-12-30,324.044,-55.554899999999996,13,3,3
2014-01-06,4599.572,1322.7433999999998,49,7,7
2014-01-13,4509.127,398.8863,99,9,9
2014-01-20,3842.388,758.0377,108,9,9
2014-01-27,1642.31,239.5467,33,7,7
2014-02-03,756.888,224.0695,39,8,8
2014-02-10,2780.094,380.9619,47,7,7
2014-02-17,227.236,21.614400000000003,44,8,8
2014-02-24,2480.663,-130.7561,62,9,9
2014-03-03,3982.968,-214.37709999999996,86,11,11
2014-03-10,4611.522,874.845,102,13,13
2014-03-17,38176.809,-586.5694,220,18,18
2014-03-24,4554.6230000000005,222.67190000000002,97,17,17
2014-03-31,11193.08,1533.0716,194,25,25
2014-04-07,7445.859,956.0409,163,17,17
2014-04-14,2810.244,180.81900000000002,71,8,8
2014-04-21,4409.654,503.6692,79,11,11
2014-04-28,5162.244,849.7262,101,18,18
2014-05-05,7787.834,439.4295,139,18,18
2014-05-12,3274.016,-429.5072,56,13,13
2014-05-19,5416.5599999999995,1795.0386,127,15,15
2014-05-26,11592.213,2331.1176,156,19,19
2014-06-02,6092.868,5.772900000000009,104,17,16
2014-06-09,7124.992,853.9327999999999,88,10,10
2014-06-16,12233.9846,2042.2272,155,19,18
2014-06-23,3215.139,248.2834,81,10,10
2014-06-30,4150.192,836.6251,112,18,18
2014-07-07,5768.223,644.6804000000001,148,16,16
2014-07-14,3322.256,216.8863,91,15,15
2014-07-21,19884.354,-2584.7052,211,20,20
2014-07-28,3153.594,532.3756999999999,70,9,9
2014-08-04,12976.082,3274.256,183,20,20
2014-08-11,4480.216,487.1124,133,13,12
2014-08-18,3925.896,930.7659000000001,107,17,16
2014-08-25,4934.6725,388.183,142,15,15
2014-09-01,7666.205,577.9349,151,22,22
2014-09-08,31458.978,1220.5134000000003,363,40,40
2014-09-15,18341.768,284.68589999999995,219,30,30
2014-09-22,15213.797800000002,5235.193799999999,168,27,27
2014-09-29,11482.787,1169.6606,178,23,23
2014-10-06,4617.902,506.0951,123,22,21
2014-10-13,11050.8,2297.7590999999998,179,20,20
2014-10-20,3689.766,52.982,75,14,14
2014-10-27,16567.190000000002,1381.4714000000001,247,25,25
2014-11-03,14572.967,2697.7186,235,28,28
2014-11-10,15343.3457,913.2791000000001,279,30,30
2014-11-17,26800.975000000002,4571.8057,291,40,39
2014-11-24,15052.979,159.38400000000001,284,38,36
2014-12-01,13515.078,1803.5455000000002,242,31,31
2014-12-08,16064.3225,2509.9732999999997,178,26,26
2014-12-15,18036.827,2370.3347,240,31,31
2014-12-22,12431.376,881.7434000000001,246,32,31
2014-12-29,13462.7946,12.639200000000043,243,27,27
2015-01-05,1708.984,-171.8231,44,6,6
2015-01-12,1827.276,-76.93599999999999,51,7,7
